tool,sentence
zipkin,I am new to Microservices.
zipkin,(Learning phase).
zipkin,I have a question.
zipkin,We deploy microservices at cloud.
zipkin,(e.g.
zipkin,AWS).
zipkin,Cloud already provide load balancing and logs.
zipkin,And We also implement Load Balancing(Ribbon) and logs(Rabbit MQ and Zipkin) in Spring Boot.
zipkin,What is the difference in these two implementation?
zipkin,Do we need both?
zipkin,Can some answer these questions.
zipkin,Thanks in advance.
zipkin,I deploy zipkin in docker (zipkin-server-2.21.7-exec.jar) and I connect with rabbit in docker.
zipkin,I'm using Eureka in docker to register microservices.
zipkin,When I run one this microservices this error compare
zipkin,APPLICATION FAILED TO START
zipkin,Description:
zipkin,Parameter 2 of method reporter in org.springframework.cloud.sleuth.zipkin2.ZipkinAutoConfiguration required a bean of type 'zipkin2.reporter.Sender' that could not be found.
zipkin,The following candidates were found but could not be injected:
zipkin,Bean method 'rabbitSender' in 'ZipkinRabbitSenderConfiguration' not loaded because @ConditionalOnBean (types: org.springframework.amqp.rabbit.connection.CachingConnectionFactory; SearchStrategy: all) did not find any beans of type org.springframework.amqp.rabbit.connection.CachingConnectionFactory
zipkin,Bean method 'restTemplateSender' in 'ZipkinRestTemplateSenderConfiguration' not loaded because ZipkinSender org.springframework.cloud.sleuth.zipkin2.sender.ZipkinRestTemplateSenderConfiguration rabbit sender type
zipkin,Action:
zipkin,Consider revisiting the entries above or defining a bean of type 'zipkin2.reporter.Sender' in your configuration.
zipkin,"I use this properties
spring.zipkin.sender.type=rabbit
spring.zipkin.base-url=http://zipkin-server:9411/"
zipkin,We have an EKS cluster in AWS and i am using istio as service mesh in my cluster.
zipkin,We are using istio only for injecting the sidecar into applications and to trace the application traffic through zipkin.
zipkin,To access the application from outside we are not using istio-ingressgateway instead we are using ALB &amp; ELBs
zipkin,So my problem is I am not getting any traces to zipkin / kiali when i am accessing my application through AWS LBs.
zipkin,Do i have to use istio-ingressgateway to record the traces in zipkin and view in kiali or is there a way to get traces using ALB/ELB as a loadbalancer?
zipkin,Running a deployment with three pod.
zipkin,The only one pod container I can connect is zipkin with  kubectl exec -it my-api-XXX -- /bin/bash .
zipkin,If I want to access the my-api container using  kubectl exec -it my-api-XXX -c &lt;my-api container ID&gt; -- /bin/bash .
zipkin,It report a error show the container is not in that pod.
zipkin,Error from server (BadRequest): container my-api_containerID is not valid for pod my-api-XXX
zipkin,I am new to K8s and I am trying to migrate my service (which currently utilizes docker-compose.yml) to k8s.
zipkin,My service
zipkin,deploys zipkin and elasticsearch
zipkin,and these can be accessed at  'localhost:9411'  and  'localhost:9200'  respectively.
zipkin,"The most commonly used solution I found online was 'kompose' and I tried to run,"
zipkin,2.
zipkin,"Once I finish this, I run kubectl get pods and I can see my deployments, but elasticsearch and zipkin are no more responsive on their respective localhost ports."
zipkin,Ouput of  'kubectl get pods'
zipkin,Output of  'docker ps'
zipkin,Output of  curl http://localhost:9200
zipkin,Can someone tell me why this is happening and how to debug?
zipkin,We are building event-driven microservices using Spring Cloud Stream(with Kafka binder) and looking at options for tracing Micorservices that are not exposed as http end point.
zipkin,Please suggest.
zipkin,I understand that using Sleuth will automatically add trace and span id to logs if it is over http.
zipkin,Documentation is not clear for using it with Spring Cloud Stream -  https://cloud.spring.io/spring-cloud-sleuth/spring-cloud-sleuth#_messaging
zipkin,Found an example but not sure whether it is the right approach -  https://github.com/bjedrzejewski/food-order-publisher/blob/zipkin-example/src/main/java/com/e4developer/foodorderpublisher/FoodOrderController.java
zipkin,Thanks
zipkin,"I want to send RabbitMQ messages tracking event to Zipkin with using spring cloud sleuth, After many research I found some configuration added recently to spring in order to manage it you can find in  here , But unfortunately there is not any  documentation that explains how can we configure it, I tried many ways but I couldn't send tracking events to Zipkin."
zipkin,Please advice
zipkin,I need to set the traceId with an existing Id (we have created some kind of correlation-id from the main origin app) into brave tracer.
zipkin,I don't want to use the Spring Sleuth/brave created one as  I want to make it consistent throughout my different micro-services.
zipkin,I am able to create traces and span and able to send all details into Zipkin.
zipkin,My sample snippet:
zipkin,I am using: Spring Cloud 'Greenwich.BUILD-SNAPSHOT' and brave.
zipkin,The whole purpose is to search using correlationId rather than traceId in zipkin ui.
zipkin,"In our Spring Boot application (2.0.4.RELEASE), we use Zipkin to integrate distributed tracing."
zipkin,"When creating the integration manually with a 10% sampling rate, meaning with a  @Configuration  like this:"
zipkin,our application has a 50 percentile performance of about 19ms and a 99.9 percentile of about 90ms at around 10 requests per second.
zipkin,When integrating Sleuth 2.0.2.RELEASE instead like this in gradle:
zipkin,the performance drops massively to a p50 of 49ms and a p999 of 120ms.
zipkin,"I tried disabling the different parts of the Sleuth integration ( spring.sleuth.async.enabled ,  spring.sleuth.reactor.enabled , etc."
zipkin,).
zipkin,"Disabling all these integrations brings the performance to p50: 25ms, p999: 103 ms.  Just having Sleuth adds about 15-25% of overhead."
zipkin,It turns out that the one thing with the significant impact is setting  spring.sleuth.log.slf4j.enabled  to  false .
zipkin,"If all other integrations are enabled, but this is disabled, the performance stays within the Sleuth overhead mentioned above, although nothing is logged."
zipkin,"So my question is:
Is there a way to avoid the overhead by Sleuth (compared to ""manual"" tracing) and especially the one done by the SLF4J integration?"
zipkin,we are trying to make parallel calls to different recipient using scatter-gather and it works fine.
zipkin,But the second recipient flow is not starting unless the first one is complete(traced in Zipkin).
zipkin,is there is a way to make all recipients async.. very similar to split-aggregate with executor channel.
zipkin,"flow2(),flow3(),flow4() methods are methods with  InterationFlow  as return type."
zipkin,sample code  flow2()  :
zipkin,I'm learning about microservices and I need spring cloud cli for this test project.
zipkin,I have installed spring boot cli (extracted and added to path) version Spring CLI v2.0.3.RELEASE.
zipkin,"I have installed the spring cloud cli plugin (spring-cloud-cli:1.3.1.RELEASE), and verify it with checking its version."
zipkin,"I would like to execute [spring cloud eureka configserver zipkin]
but I'm getting:"
zipkin,File ........\.m2\repository\org\springframework\cloud\launcher\spring-cloud-launcher-deployer\1.3.3.BUILD-SNAPSHOT\spring-cloud-launcher-deployer-1.3.3.BUILD-SNAPSHOT.jar must exist
zipkin,I am using rxjava 2 with spring boot 2 and spring cloud finchley.rc2.
zipkin,Now i am tracing the requests with sleuth / zipkin.
zipkin,But i am getting one issue that IO threads are reusing the olds requests traceids.
zipkin,"When I am doing this, traceids generated are fine(same for all parallel calls in same request )"
zipkin,"But when I am doing this, it is not working properly."
zipkin,"I am assuming since io() threads are reused, thats why they are using old data since they are old threads?"
zipkin,But how can i force them to use the trace id for current main thread?
zipkin,How can i fix this?
zipkin,I cant move the webflux as i have lot of code writtenin rxjava?
zipkin,"Currently, I am working on my company's microservices solution which uses  Spring Cloud Edgware.SR1 ."
zipkin,"This solution includes the following main flavors:
 api-gateway(Zuul) ,  service-discovery(Eureka) ,  uaa ,  zipkin-server  and  business logic  services."
zipkin,I am trying to provide a good tracing for all requests in our system.
zipkin,"In Zipkin UI I can see a trace for the request that starts in api-gateway, going through uaa to our business logic service."
zipkin,But requests to the Eureka are missing in the trace.
zipkin,"Instead, there is a separate trace with a single span for  service-discovery  endpoint  http://eureka/apps/** ."
zipkin,I had the same issue with  uaa  request to  http://user/  endpoint and solved it by adding  TraceRestTemplateInterceptor  to our Oauth2 client.
zipkin,"However, I found it difficult to override  EurekaHttpClient  and add the mentioned interceptor."
zipkin,Is there any other way to propagate trace id to Eureka Clients?
zipkin,I have created a spring boot application with spring cloud sleuth.
zipkin,"For POC purposes, I used zipkin on 
my local machine and I am able to instrument a external service which is not instrumented by creating 
manual span."
zipkin,I reffered below link.
zipkin,https://cloud.spring.io/spring-cloud-sleuth/1.2.x/multi/multi__customizations.html
zipkin,"Now, When I move to PCF environment, then I am unable to collect proper custom spans."
zipkin,PCF metrics always shows parent span and service with total time taken.
zipkin,Could anyone please let me know where I am going wrong.
zipkin,Zipkin Output:-
zipkin,PCF Metrics:-
zipkin,"UPDATE 
screen shot for Zipkin with @NewSpan."
zipkin,PCF metrics screen shot without call hierachy
zipkin,"I have been trying to get Spring boot 2.0 and Spring Cloud Slueth 2.x (POM= Finchley.M6) working, but no avail."
zipkin,I have a  service1  calls  service2  and  service3 .
zipkin,I see that a new  traceId  is created whenever a request is received in  service1  but not passed to  Service2  and  Service3  instead a new  traceid  is being created every time on  Service2  and  Service3 .
zipkin,Is this anyhow related to  this defect  ?
zipkin,NOTE: I don't need zipkin support and I need sleuth for distributed tracing and will be using Splunk as log aggregater.
zipkin,Source Code :  https://github.com/trmsmy/springboot-cloud-examples/tree/springboot2
zipkin,I am currently running Spring Cloud Edgware.SR2.
zipkin,"I am migrating services from RabbitMQ to Kafka, and at this point I don't see any Zipkin traces when I run kafka-console-consumer.sh on the zipkin topic (i.e.,  kafka-console-consumer.sh --new-consumer --bootstrap-server localhost:9092 --topic zipkin --from-beginning )."
zipkin,"As a result, I of course don't see any trace information in the Zipkin UI."
zipkin,Following are the dependencies I have as part of the producer service:
zipkin,These are the dependency overrides I had to make after pulling in the  spring-cloud-stream-binder-kafka11  dependency per the instructions  at the bottom of the Spring Cloud Stream project page .
zipkin,"I also took a look at the instructions for  Sleuth with Zipkin via RabbitMQ or Kafka , and I think I have that part correct."
zipkin,The documentation states  If you want Sleuth over RabbitMQ add the spring-cloud-starter-zipkin and spring-rabbit dependencies.
zipkin,"It specifically mentions  spring-cloud-starter-zipkin  is needed for RabbitMQ, but I added it even though I'm using Kafka since it didn't work without this dependency either."
zipkin,Any ideas on what I'm missing or have configured incorrectly to capture Sleuth traces and send them to the Zipkin server using Kafka?
zipkin,"I'm trying to trace services in Openstack Mitaka using osprofiler, but i'm having some issues."
zipkin,It seems it's not possible to trace nova service in Mitaka using osprofiler (correct me if i'm wrong).
zipkin,So i was thinking of using Zipkin.
zipkin,Can anyone tell me if Zipkin integrates with openstack mitaka?
zipkin,I have a Java Spring-Cloud-based microservice integrated with RabbitMQ using Spring Boot Starter AMQP (extract from a  pom.xml  below):
zipkin,Now I would like to connect this service to the Zipkin monitoring using Sleuth.
zipkin,"According to the  documentation , when AMQP support is enabled, Sleuth sends all its data through a RabbitMQ queue."
zipkin,For some reason I would like to disable this default behaviour and send data via HTTP.
zipkin,Probably there is one magic property which I cannot find.
zipkin,Do you know how I can force my application to send Sleuth-related data via HTTP to a Zipkin Server (also a Spring Boot application with  @EnableZipkinServer  annotation)?
zipkin,"In addition I would like to mention that after removing the AMQP support everything works fine, i.e."
zipkin,Zipkin receives tracing data via HTTP.
zipkin,"Moreover, setting both  spring.zipkin.collector.http.enabled: true  and  spring.zipkin.collector.amqp.enabled: false  (and  spring.zipkin.collector.rabbitmq.enabled: false ) does not help."
zipkin,I'm using  Spring Cloud Stream  binder from the Edgware release to send Kafka messages.
zipkin,I'm also using  Spring Sleuth  with  Zipkin .
zipkin,Spring embeds headers into the Kafka message using a custom class  EmbeddedHeaderUtils .
zipkin,This causes a problem for some non-Spring consumers of the message who would have to deal with this custom decoding.
zipkin,My Question:  Is there a way to configure Spring with a custom encoder/decoder for message headers (e.g.
zipkin,plain JSON)?
zipkin,Or possibly use Kafka Headers?
zipkin,Ideally any custom implementation needs to work with Spring Sleuth and Zipkin.
zipkin,I've been having a look at the latest Finchley release to see if Kafka headers will be supported but not sure about that.
zipkin,Does ELK stack provide micro service and network latency monitoring in kibana?
zipkin,Zipkin  provides details bout service request and service response duration.
zipkin,In behind ELS stack should trace span events:
zipkin,cs - Client Sent
zipkin,sr - Server Received
zipkin,ss - Server Sent
zipkin,cr - Client Received
zipkin,I'm trying to create a Zipkin 1.31.1 server using Spring Boot 1.3.5.RELEASE to build a fat executable JAR with with Tomcat 8.0.33 embedded in it.
zipkin,This is failing with the following error message:
zipkin,as described in  Spring Boot Enable Async Supported Like in web.xml  even with the suggested fix.
zipkin,"After setting breakpoints in the debugger, I found that the problem is the same as described in"
zipkin,How to Make LogbackValve async Supported
zipkin,which wasn't answered and ultimately had the following improvement request created:
zipkin,ch.qos.logback.access.tomcat.LogbackValve is not async-supported
zipkin,Does anyone have any recommendations how I can workaround this issue?
zipkin,I need help either:
zipkin,OR
zipkin,Any help you can provide would be much appreciated.
zipkin,Thanks!
zipkin,I'm debugging calls made from my express app to another micro-service on my network.
zipkin,I'm receiving 401 errors and I need to get full raw http logs to give to my security team for analysis.
zipkin,I'm looking for some advice on tracking HTTP calls from a micro-service I have deployed on Pivotal Cloud Foundry.
zipkin,I've been doing some research and ran across tools like Zipkin and OpenTracing etc.. but those appear to be more about debugging latency and probably do not show HTTP logs.
zipkin,I've also tried using Morgan/Winston modules but they do not track internal calls.
zipkin,"Morgan is currently what I'm using to log out the basic HTTP codes but it doesn't pick up on my calls from inside my app either, just the ones made to the app itself from the browser."
zipkin,I need to get the full raw HTTP request to assist the security team.
zipkin,I'm using the default logging output with morgan (STDOUT).
zipkin,I've console logged the headers to see the headers but would like to get them out in a slightly more readable format.
zipkin,Does Spring cloud sleuth support WebserviceTemplate?
zipkin,I mean - I have a service which makes 2 service calls - One using RestTemplate and another using Webservicetemplate.
zipkin,The Rest call is getting displayed in Zipkin and the Soap call using Webservicetemplate is not.
zipkin,Do I have to add @NewSpan to all my soap calls ?
zipkin,Is it not automatically done like Resttemplate?
zipkin,I am using spring-amqp via spring-integration.
zipkin,"By the way, when using spring-cloud-sleuth-zipkin, the following error occurred."
zipkin,"spring-cloud-starter-zipkin:1.0.9 
spring-integration-core:4.2.9 
spring-amqp:1.5.6"
zipkin,"In Brave (zipkin tracer), we attach state read by interceptors by controlling the Dispatcher's ExecutorService."
zipkin,It works like this..
zipkin,This works for synchronous requests (since they don't use the dispatcher thread anyway) and normal asynchronous requests.
zipkin,"It doesn't work when there are more in-flight connections than permitted, because asynchronous requests are pushed into a ready queue before they are executed."
zipkin,"The ready queue is not processed by the calling thread of the request, so the re-attach won't work."
zipkin,"When an interceptor runs on a delayed request, it cannot see its calling span which breaks tracing."
zipkin,I was thinking that maybe the application interceptor might not have this problem.
zipkin,"If the host/connection limit was enforced (via the mentioned queue) at the network level, I would be able to coordinate the state by dual-registering an interceptor."
zipkin,This interceptor could re-attach the state without relying on thread locals by mapping application/network level requests.
zipkin,"Sadly, this doesn't work because the host/connection limit is enforced (via the mentioned queue) at the application level, so I'm stumped."
zipkin,I would like to be able to trace requests especially when they are backlogged.
zipkin,Any ideas?
zipkin,"Hats off to brianm for finding this problem, btw"
zipkin,"I've successfully used Zipkin with Hadoop Htrace in 2.6.0 x32, on Ubuntu 14.04."
zipkin,"Now I want to use it with Hadoop 2.7.3., but I can't even enable Htrace tracing with this hadoop version."
zipkin,"The setup for HTrace in 2.6.0 is different from 2.7.3, as it can be seen here- 2.6.0  and here- 2.7.3 ."
zipkin,In 2.6.0 I'd have this line in the namenode log file :
zipkin,I have nothing like that in 2.7.3 Namenode log file.
zipkin,"Because of not having success with Zipkin, I tried to use the LocalFileSpanReceiver as described in the online tutorial:"
zipkin,"The /var/log/hadoop/ exists, with 777 rights on it, but nothing..."
zipkin,The TracingFsShell example compiles and runs with the following modification:
zipkin,As it can be found in the source code of hadoop in  hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/tracing/SpanReceiverHost.java  although the online tutorial does not use that method signature.
zipkin,(Source  diff )
zipkin,"The environment is the same for both Hadoop versions, java 1.7."
zipkin,"Also, hadoop is compiled from source, as the Ubuntu 14.04 is x32 bit."
zipkin,"Hadoop is deployed in fully-distributed mode, using lxc containers."
zipkin,core-site.xml  for Zipkin ( Zipkin params  here ):
zipkin,In a microservice environment I see two main benefits from tracing requests through all microservice instances over an entire business process.
zipkin,"With  Zipkin  there is a tool, which addresses the first issue."
zipkin,But how can tracing be used to unveil failures in your microservice landscape?
zipkin,"I definitely want to trace all error afflicted spans, but not each request, where nothing went wrong."
zipkin,As mentioned  here  a custom Sampler could be used.
zipkin,"Alternatively, you may register your own Sampler bean definition and programmatically make the decision which requests should be sampled."
zipkin,"You can make more intelligent choices about which things to trace, for example, by ignoring successful requests, perhaps checking whether some component is in an error state, or really anything else."
zipkin,"So I tried to implement that, but it doesn't work or I used it wrong."
zipkin,"So, as the blog post suggested I registered my own Sampler:"
zipkin,"And in my controller I create a new Span, which is being tagged as an error if an exception raises"
zipkin,"Now, this doesn't work."
zipkin,If I request /calc/a the method Sampler.isSampled(Span) is being called before the Controller method throws a NumberFormatException.
zipkin,"This means, when isSampled() checks the Span, it has no tags yet."
zipkin,And the Sampler method is not being called again later in the process.
zipkin,"Only if I open the Sampler and allow every span to be sampled, I see my tagged error-span later on in Zipkin."
zipkin,In this case Sampler.isSampled(Span) was called only 1 time but HttpZipkinSpanReporter.report(Span) was executed 3 times.
zipkin,"So what would the use case look like, to transmit only traces, which have error spans ?"
zipkin,"Is this even a correct way to tag a span with an arbitrary ""error_"" tag ?"
zipkin,Update : I have pushed the code to  my repo  so people can take a look there to see what may be going wrong.
zipkin,"Edit : I'm almost sure it's the client code NOT POSTing any stats to the server, but neither guides below explain how should this be enabled: is there a configuration setting that I am missing?"
zipkin,I have been following the quick starts on both  OpenZipkin  and  Spring Sleuth : I have a running Zipkin server from  docker-zipkin  using the  docker-compose  and Cassandra as the backend:
zipkin,I have created and run the  Spring Sleuth sample app  and it seems to be configured correctly to trace calls:
zipkin,The logs seem to show that the traces ought to be logged:
zipkin,"However, the UI does not show any traces at all, no matter what I do."
zipkin,The weird thing is that the  localhost:9411/trace  does show a bunch of traces (they seem to be mostly from Zipkin itself) but there are none from the  zipkin-demo  app.
zipkin,"I believe this due to the demo app not sending the traces to the host, but I'm just using  Spring's example app , so what can I be doing wrong?"
zipkin,I would like to store the spring cloud sleuth messages that come in my zipkin server (ala @EnableZipkinStreamServer) into a NoSql store.
zipkin,I know that the original zipkin impl used cassandra which would work for me but I am curious about say MongoDb or CouchBase.
zipkin,I looked in the documents ( http://cloud.spring.io/spring-cloud-sleuth/spring-cloud-sleuth.html#_zipkin_consumer ) and saw that you can use spring-boot-starter-jdbc for this and it will write into the MySQL DB instance that you define.
zipkin,I don't see an API/SPI for putting this into anything else.
zipkin,Is there one and what is it.
zipkin,I can implement the NoSql portion myself.
zipkin,"This is a continuation of the  shopping cart sample , where we have an external API that allows checkout from a shopping cart."
zipkin,"To recap, we have a flow where we create an empty shopping, add line item(s) and finally checkout."
zipkin,"All the operations above, happen as enrichments through HTTP calls to an external service."
zipkin,We would like to add line items concurrently (as part of the add line items) call.
zipkin,Our current configuration looks like this:
zipkin,"To add line items in parallel, we are using an executor channel."
zipkin,"However, they still seem to be getting processed sequentially when seen in zipkin:"
zipkin,What are we doing wrong?
zipkin,The source for the whole project is on  github  for reference.
zipkin,Thanks!
zipkin,I've had a search over the internet but can't seem to find any straightforward instructions on how to use the Thrift protocol from behind a proxy.
zipkin,To give you a bit of background - we have a Zipkin instance setup ( https://github.com/twitter/zipkin ) that uses a Cassandra instance ( http://cassandra.apache.org/ ) to store Zipkin traces.
zipkin,Our intention is to negotiate over the thrift protocol to a collector that is then responsible for writing traces to Cassandra.
zipkin,What conditions have to be in place for us to negotiate successfully via our corporate proxy?
zipkin,Do we just have to set certain proxy properties when trying to negotiate or do we have to set something else up that allows this negotiation to happen?
zipkin,Any help people can give in this direction with regards to resources and/or an answer would be greatly appreciated.
zipkin,I am trying to install Zipkin on CentOS.
zipkin,"When I try to run  bin/collector , I get the following errors:"
zipkin,I have installed Java 7 and Scala.
zipkin,Note: These errors are from a second run of bin/collector.
zipkin,"The first run downloaded libraries, compiled the scala files and then displayed the erorrs, however they were the same errors."
zipkin,While the  apollo-opentracing  node library allows Apollo Server to create trace/span information for forwarding to e.g.
zipkin,"Zipkin, it only seems to work for GraphQL mutations and queries."
zipkin,"I would like to trace Graphql subscriptions, which includes:"
zipkin,I'm having difficulty identifying suitable callbacks (or other mechanisms) to help achieve all of these things; if anyone has any advice or pointers that can offer me that would be most appreciated.
zipkin,"Can anyone explain how to troubleshoot whether the tracingservice we configured for ambassador-gateway is working or not, we actually created the tracingService for our ambassador-gateway service as mentioned here  https://www.getambassador.io/docs/latest/topics/running/services/tracing-service/  ."
zipkin,"Later we restarted the ambassador-gateway pod and checked the logs, we found these"
zipkin,"we haven't found any other info regarding tracing service apart from the above two logs, we had sent some requests to ambassador-gateway ,the related traces were not showing up in the zipkin ui we configured , can some please help me how to troubleshoot this issue?"
zipkin,TracingServiceConfiguration:
zipkin,Let's say I have a NodeJS program that has  two  separate instances of an express server running.
zipkin,"I've been able to instrument a program like this via  open telemetry , and have my spans sent/exported successfully to Zipkin."
zipkin,All I needed to do is/was add code like the following to the start of my program.
zipkin,and make sure that the express and http plugins were/are installed
zipkin,This all works great -- except for  one thing .
zipkin,Open Telemetry sees both my express services running as the same  service-main  service.
zipkin,When I instrumented these services  directly  with Zipkin -- I would add the Zipkin middleware to each running express server
zipkin,"Each tracer could be instantiated with its own service name, which allowed each service to have its individual name and show up as a different service in Zipkin."
zipkin,"
( /main ,  /hello , and  /goobye  are all service via a different express service in the above URL)"
zipkin,Is this sort of thing (instrumenting two services in one program) possible with Open Telemetry?
zipkin,Or would I need to separate these two services out into separate programs in order to have each services have an individual name?
zipkin,"This question is less about solving a particular problem, and more about understanding the semantics of Open Telemetry."
zipkin,I'm trying to run Zipkin on Kubernetes cluster.
zipkin,This is my Deployment file:
zipkin,"when I call  /health endpoint from other deployment  inside of my cluster with pod's ip, I can access to it and this is my output:"
zipkin,"but when I try to access with service name, I can't."
zipkin,this is the output of  kubectl describe svc zipkin
zipkin,"and:
    kubectl logs zipkin-9898fcf7f-2nmkx"
zipkin,can anybody help me?
zipkin,I have a very big problem I'm struggling with for 3 days.
zipkin,I use docker swarm on the remote server.
zipkin,20 microservices are in the same network NetA and stack StackA.
zipkin,Now I want to add Zipkin and Sleuth to my microservices to trace all requests.
zipkin,All microservices are made by docker-compose file that looks like:
zipkin,Now the question is - HOW to ADD Zipkin Server?
zipkin,I've added Zipkin server from Docker Hub Image.
zipkin,"NOW my ZIpkin Service is:
- in a separate network ZIPN
- in a separate stack ZIPST"
zipkin,What should I do to send data do Zipkin by all my microservices?
zipkin,"What URL should i send in properties file:
spring.zipkin.base-url= http://zipkinserver_network_zipkin_server:9411/"
zipkin,"Should it be maybe:
-container name (like my_zipkin_server) - but I use swarm so container name changes dynamically?"
zipkin,- network name?
zipkin,I added an additional network NetA to my Zipkin container but it didn't solved my problem - there are no traces in my Zipkin UI.
zipkin,"Please help me, I spent 4 days with this problem without any success."
zipkin,Zipkin server should be in a separate Stack because will be used by different applications.
zipkin,There is only ONE case when Zipkin works: when I set Zipkin container name:
zipkin,I am using spring boot in a project and currently exploring the logging behaviour.
zipkin,For that I'm using the zipkin service.
zipkin,I have exported my logs to a json file using proper logback.xml:
zipkin,Is there a way so that I could insert a jsonObject in my message part of the log.
zipkin,Something like:
zipkin,I have tried searching a way extensively but to no avail.
zipkin,Is it even possible?
zipkin,"I am wondering if I can use BAM and CEP to monitor requests from client, and even find the bottleneck of the service."
zipkin,"I found zipkin, a project that could do this, but the base of my application is WSO2, I don't want to get other projects from scratch."
zipkin,We are going to have a high load on telemetry service.
zipkin,"I'm looking for solutions, which be able to scale collector and backend(zipkin)"
zipkin,There is   solution for scaling zipkin.
zipkin,Seems simple - just use internal balancing
zipkin,"But, I can't find examples for using multiple openTelemetry collectors."
zipkin,"There is no troubles to run several instances of collector, but how can I say &quot;myApp&quot; to balance beetwin them?"
zipkin,There is no such option in exptorters.
zipkin,What is the right way to scale such system?
zipkin,i want to implement distributed tracing(using sleuth-otel) in microservice and it should export the trace details to Google cloud tracing Api(not zipkin).
zipkin,"application structure is like this,
service1 -&gt; pubsub -&gt; service2 -&gt; pubsub -&gt; service3
i tried the following"
zipkin,"A) In service1,"
zipkin,"my dobut in this is,"
zipkin,=&gt; why i did't see the application name that i mentioned in application.properties.
zipkin,Is there any other thing i missed?
zipkin,=&gt; i also want to change this default traceId with my own value.
zipkin,is it possible?
zipkin,if yes what should i do for that?
zipkin,(sample code pls)
zipkin,B) in service2
zipkin,doubt
zipkin,=&gt; why i did't get the same traceId logged in service1 here?
zipkin,(it doesn't log spanId aswell)
zipkin,=&gt; How to get the same traceId in service2?
zipkin,"=&gt; To export the traces to google cloud trace API, this dependency is enough or do i need to add any config or anything?"
zipkin,Micronaut has a zipkin tracing library where you can easily override the zipkin server http endpoint like this:
zipkin,"Now by default it adds  DEFAULT_PATH = &quot;/api/v2/spans&quot;  to it, but for new relic the entire path should be like:"
zipkin,"I tried with Bean replacement and factories, but I just cannot find a proper clean solution."
zipkin,The only solution I have found is by copying the entire  public final class HttpClientSender extends Sender  class  as  public final class NewRelicSender extends Sender  and just modifying the constructor:
zipkin,"It does work, but I feel like there is a better way to do this."
zipkin,I am copying almost 300 lines of code to replace 1.
zipkin,What would be the Micronaut way of doing this?
zipkin,"All,
I am trying to integrate OpenTelemetry collector with Prometheus in a .Net application."
zipkin,I am using OTLP Exporter in the application and running OpenTelemetry Collector as a windows service on same system.
zipkin,Please find the below 'config.yaml' I am using for collector
zipkin,Here is the 'prometheus.yml'
zipkin,I don't see the metrics exported to Prometheus.
zipkin,I am creating some counters programatically in the application and looking for the same in Prometheus.
zipkin,"Please note, I tried to export traces to Zipkin and it worked fine."
zipkin,Any help is greatly appreciated.
zipkin,Prometheus UI target health is showing 'UP' as below.
zipkin,"I have 4 spring-boot applications (A, B, C and D)."
zipkin,The lifecycle of a transaction is as follows :
zipkin,"Now for a single transaction I would expect a single trace across all four application, but instead I get"
zipkin,"I would have uploaded the pictures to show the zipkin spans, but for some reason I am not able to do so."
zipkin,All the above applications are Spring boot applications and they utilize spring-cloud-sleuth for producing transactions traces.
zipkin,I am relying on spring boot's autoconfiguration and these are the properties that I have set in all the applications:
zipkin,I am not able to understand what's exactly happening here.
zipkin,Why the spans are scattered across 2 traces and not one?
zipkin,I am using spring-boot 2.3.3 and spring-cloud-dependencies Hoxton.SR8.
zipkin,I have a beginner question with Docker Compose.
zipkin,I am trying to extend the  docker-compose-slim.yml  example file  from  Zipkin GitHub repository .
zipkin,I need to change it so that it can include a simple FastAPI app that I have written.
zipkin,"Unfortunately, I cannot make them connect to each other."
zipkin,"FastAPI gets rejected when it attempts to send a POST request to the Zipkin container, even though they are both connected to the same network with explicit links and port mapping defined in the YAML file."
zipkin,"However, I am able to connect to both of them from the host, however."
zipkin,Could you please tell me what I have done wrong?
zipkin,Here is the error message:
zipkin,Here is the Docker Compose YAML file:
zipkin,Here is the Dockerfile:
zipkin,"First, we've thought that problem is in the incompatible version of Brave and Zipkin."
zipkin,"We have fixed it and now it's exactly like in the snippet above, but the problem remain."
zipkin,While debugging we've found out that the problem only appears when in Braves class  ThreadLocalCurrentTraceContext  is creating a new Span in method
zipkin,with  local.get()  which return not null value.
zipkin,local  is  final ThreadLocal&lt;TraceContext&gt;  variable and it only works when get method returns null value.
zipkin,Any idea how could we solve this problem or other possibilities where can be problem?
zipkin,Thanks.
zipkin,my spring boot microservices run currently with Spring-Boot 2.2.9.RELEASE
zipkin,I also still use
zipkin,dependencies.
zipkin,Now I wanted switch to Spring Boot 2.3.2.RELEASE.
zipkin,I can compile the code without any errors.
zipkin,After start the service I see this
zipkin,INFO: HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
zipkin,log message.
zipkin,There are now errors.
zipkin,And then the deployment process stopped.
zipkin,Nothing happens.
zipkin,At the moment I have no idea why it's not running.
zipkin,Has someone some tip?
zipkin,"I am trying to use Spring Cloud CLI to start eureka, configserver and zipkin with this command:"
zipkin,but I get this message:
zipkin,It seems like the CLI can't find some packages in the maven repos.
zipkin,Is there a solution for this?
zipkin,"I have 3 spring boot applications ,  spring-cloud-gateway  ,  spring-boot-resource-server  and  spring-boot-authentication-server ."
